Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
output/ibol.species.seq300.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 300\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 2',-4523450618538717400,2.0141201213800002E7,5227.0,5228.0,4217.0,1011.0,0.0,80.66182096403979,19.338179035960213,0.0,0.8060731110052637,6.47032373018974E-4,0.01762321120009408,27.8884911630202,51.74706111642567,48602.29540788103,262247.81428274524,-213645.5188748642,9.296536994621468,50.16216799593444,-40.86563100131297,42804.96744580947,8.187637231409616,455833.1614185339,1.0,3.0,1.9138755980861245E-4,1.0,0.9998086124401914,5224.0,0.0,0.0,0.75,1.0,0.8571428571428571,0.8659425265744508,0.9999681020733653,0.9166666666666666,0.8066182096403979,5.346618125543754E-4,0.999465338187445,0.19338179035960215,0.7968706706686055,0.8066182096403979,0.7822003800148478,0.791188195294465,0.9761481192671897,0.8133963657214227,0.7486891474676064,0.8066182096403979,18.64,2.016,10.261284,1.926791,1.30206924E8,2.23797642E8,2.23840415E8,94.79724560061209,0.3873374139250294,?
output/ibol.species.seq300.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 300\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 2',-4523450618538717400,2.01412012139E7,5228.0,5227.0,4095.0,1132.0,0.0,78.34321790702124,21.656782092978766,0.0,0.7828231880032223,7.081280797560677E-4,0.018418013956132934,30.521848927463083,54.080737948727204,48604.94845442403,230663.90984414393,-182058.9613897199,9.298823121183094,44.12931123859651,-34.83048811741341,42476.52386894886,8.12636768106923,452444.7615964129,0.5,2.0,3.829216925138809E-4,2.0,0.9996170783074861,5221.0,0.5,2.0,0.5,0.5,0.5,0.49961707830748614,0.9994256174612292,0.4571428571428572,0.7834321790702123,6.102067602367736E-4,0.9993897932397634,0.21656782092978763,0.7665427987920388,0.7834321790702123,0.7556460197880163,0.7644361858937578,0.9785547719027318,0.7843882188041613,0.7291214998212786,0.7834321790702123,19.747,1.95,10.834610000000001,1.930048,1.22640198E8,2.23840415E8,2.23797642E8,95.08322173330782,0.5235783788112773,?
output/res50k.family.seq300.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 300\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 2',-4523450618538717400,2.0141201214E7,6930.0,6931.0,2643.0,4288.0,0.0,38.13302553744048,61.86697446255952,0.0,0.3290158140267421,0.007000282070171228,0.06045779134867938,78.24386976958881,90.43436008467452,42461.15417475177,837723.586577359,-795262.4324026073,6.1262666534052475,120.86619341759616,-114.73992676419093,14803.513956828543,2.1358409979553517,238211.8689334528,0.0,0.0,0.0,0.0,1.0,6921.0,1.0,10.0,0.0,0.0,0.0,0.0,0.7582719260222511,0.0029797377830750892,0.38133025537440485,0.06147156217979173,0.9385284378202084,0.6186697446255951,0.3831881448027744,0.38133025537440485,0.32857672853360426,0.3285711553251043,0.7821342161687715,0.2874094342676492,0.21636167937896947,0.38133025537440485,24.468,1.754,17.069620999999998,1.7360719999999998,2.7434352E7,3.01546642E8,3.01590127E8,84.46111672197374,18.69432554759217,?
output/res50k.family.seq300.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 300\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 2',-4523450618538717400,2.0141201214E7,6931.0,6930.0,2884.0,4046.0,0.0,41.61616161616162,58.38383838383838,0.0,0.38075299207157076,0.00647343099254984,0.0583584398232818,72.35513555606174,87.29363946960248,42465.22149826056,958088.8425000636,-915623.6210018031,6.127737589936588,138.2523582251174,-132.12462063518083,17783.24299896325,2.566124530874928,286233.2564968599,0.0,0.0,0.0,0.0,1.0,6920.0,1.0,10.0,0.0,0.0,0.0,0.0,0.8567557803468208,0.022796772437780957,0.4161616161616162,0.03694934300589886,0.9630506569941016,0.5838383838383838,0.4084608788115595,0.4161616161616162,0.36816035527530877,0.3690891653797715,0.8554846712675975,0.3674761573266022,0.2411007537352544,0.4161616161616162,29.278,2.735,18.363813999999998,1.9008260000000001,3.4595926E7,3.01590127E8,3.01546642E8,82.94372294372295,11.704345037677962,?
output/res50k.genus.seq300.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 300\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 2',-4523450618538717400,2.01412012141E7,4855.0,4856.0,1664.0,3192.0,0.0,34.266886326194395,65.7331136738056,0.0,0.3357971129941574,0.002779205312429838,0.03840125418566986,75.43770954409388,89.48860493736376,40652.97794033637,1221109.0272744389,-1180456.0493341025,8.371700564319681,251.4639677253787,-243.092267161059,18723.74908003375,3.8557967627746605,220806.92007051047,0.625,10.0,0.0,0.0,1.0,4840.0,0.375,6.0,1.0,0.625,0.7692307692307693,0.7900798478065548,0.905649535123967,0.7997249352788891,0.342668863261944,0.007616091727621169,0.9923839082723793,0.657331136738056,0.37576172162822913,0.342668863261944,0.31765654478453387,0.33231020790401755,0.8513240639502737,0.3206332221945699,0.24235109355481166,0.342668863261944,17.87,1.703,8.852187,1.52776,7.7344762E7,2.1105157E8,2.11094999E8,72.71416803953872,6.380575385929589,?
output/res50k.genus.seq300.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 300\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 2',-4523450618538717400,2.01412012141E7,4856.0,4855.0,1821.0,3034.0,0.0,37.50772399588053,62.49227600411947,0.0,0.3694873746974474,0.0026845777099059782,0.037798741663637433,72.86917848672111,88.08480776192164,40635.39154157928,1178012.0197215772,-1137376.628179998,8.369802583229513,242.63893300135473,-234.2691304181252,19314.453283291325,3.9782602025316836,227721.72382177587,0.9375,15.0,0.0053730109526761724,26.0,0.9946269890473238,4813.0,0.0625,1.0,0.36585365853658536,0.9375,0.5263157894736842,0.583805139400433,0.9994704484397603,0.9406512605042018,0.3750772399588054,0.00601511576875378,0.9939848842312473,0.6249227600411946,0.4284239725017481,0.3750772399588054,0.36159034235121834,0.375961179359826,0.851550387665699,0.3502143550124267,0.2745578105181872,0.3750772399588054,16.243,1.528,8.376177,1.520963,8.2923328E7,2.11094999E8,2.1105157E8,74.04737384140061,8.097188846931262,?
output/ibol.species.seq300.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 300\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.01412012144E7,5227.0,5228.0,1811.0,3417.0,0.0,34.640397857689365,65.35960214231064,0.0,0.3417789688884664,0.0015230484870378577,0.03682585649224996,65.6466755649659,108.131816893791,48602.29540788103,146303.3184129415,-97701.02300506047,9.296536994621468,27.98456740874933,-18.688030414127866,16373.145764068548,3.131818241023058,174358.80089035083,0.0,0.0,0.0,0.0,1.0,5225.0,1.0,3.0,0.0,0.0,0.0,0.0,0.9716746411483254,0.01892818159684726,0.34640397857689365,0.005295247356441806,0.9947047526435581,0.6535960214231064,0.23335176958273016,0.34640397857689365,0.24697796313382178,0.26420367321052024,0.9598267094447508,0.5359501933333206,0.0998512464667401,0.34640397857689365,10.253,160.548,9.739233,157.859162,1.7415872E7,2.23797642E8,2.23840415E8,39.02065799540934,0.19270119748758918,?
output/ibol.species.seq300.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 300\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.0141201214700002E7,5228.0,5227.0,1598.0,3629.0,0.0,30.57202984503539,69.42797015496461,0.0,0.30176981970886096,0.001620347121046453,0.03737346630207346,69.8404588837459,109.73955401119652,48604.94845442403,156835.5928035128,-108230.64434908875,9.298823121183094,30.00489627004262,-20.706073148859527,14542.394664680505,2.782168483772815,154900.39409538763,0.0,0.0,0.0,0.0,1.0,5223.0,1.0,4.0,0.0,0.0,0.0,0.0,0.987363584147042,0.038375350140056025,0.3057202984503539,0.004004912918953241,0.995995087081047,0.694279701549646,0.20948557209280655,0.3057202984503539,0.2226646626698893,0.23631285132573454,0.9556426829952444,0.49519435590515104,0.08078933242386495,0.3057202984503539,11.85,159.867,11.014598,157.970445,1.7414979E7,2.23840415E8,2.23797642E8,34.85747082456476,0.21961105351907176,?
output/res50k.family.seq300.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 300\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.0141201214900002E7,6930.0,6931.0,2199.0,4732.0,0.0,31.727023517529936,68.27297648247006,0.0,0.24825015123819347,0.00680401607027687,0.06719164572876007,76.05015654746478,100.50703720669914,42461.15417475177,92542.52041529326,-50081.36624054149,6.1262666534052475,13.351972358287874,-7.2257057048826265,10283.046564200466,1.4836310148896934,165470.42462563366,0.0,0.0,0.0,0.0,1.0,6921.0,1.0,10.0,0.0,0.0,0.0,0.0,0.28413524057217165,0.0015078407720144752,0.3172702351752994,0.07688130093051208,0.923118699069488,0.6827297648247006,0.26828512348964223,0.3172702351752994,0.23190013112437782,0.2283131469512143,0.7380069944137863,0.23225376181957702,0.05779464529712313,0.3172702351752994,17.851,57.333,17.56127,56.827135999999996,5878225.0,3.01546642E8,3.01590127E8,54.249026114557786,3.499307993608758,?
output/res50k.family.seq300.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 300\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.0141201215E7,6931.0,6930.0,2297.0,4633.0,0.0,33.14574314574315,66.85425685425686,0.0,0.2833213424420208,0.006462739706470209,0.06669767406681966,72.23563641341997,99.76762112011158,42465.22149826056,90965.32985586592,-48500.10835760536,6.127737589936588,13.126310224511677,-6.998572634575088,11628.938863027222,1.6780575559923843,187175.59224497058,0.0,0.0,0.0,0.0,1.0,6920.0,1.0,10.0,0.0,0.0,0.0,0.0,0.6322398843930636,0.002659888626440533,0.33145743145743145,0.04804540236096356,0.9519545976390363,0.6685425685425685,0.2718755035794701,0.33145743145743145,0.2506688263032795,0.24920549421539842,0.8342188181482715,0.2892027751724266,0.05688222051598073,0.33145743145743145,17.348,55.407,16.047756,54.997697,5904822.0,3.01590127E8,3.01546642E8,52.78499278499279,2.5942627331514965,?
