Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureX,measureY,measureGridExtensionsPerformed
output/ibol.species.seq150.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.GridSearch,'-E ACC -y-property classifier.search.numToSelect -y-min 0.0 -y-max 8.0 -y-step 1.0 -y-base 2.0 -y-expression 5000/pow(BASE,I) -filter weka.filters.AllFilter -x-property filter -x-min 0.0 -x-max 1.0 -x-step 1.0 -x-base 1.0 -x-expression I -sample-size 100.0 -traversal COLUMN-WISE -log-file \\dev\\null -num-slots 4 -S 1 -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N -1\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1',-3034773968581595348,2.0141201011E7,5227.0,5228.0,3135.0,2093.0,0.0,59.96557000765111,40.03442999234889,0.0,0.5985215359717557,0.0015630949627230446,0.026805209259206226,67.3727650619186,78.70817560010397,48602.29540788103,1492158.4084507388,-1443556.1130428577,9.296536994621468,285.41668103495385,-276.1201440403324,28852.60749569047,5.518861418456479,307253.48189036484,1.0,3.0,0.0015311004784688996,8.0,0.9984688995215311,5217.0,0.0,0.0,0.2727272727272727,1.0,0.42857142857142855,0.5218330191445425,0.9994896331738437,0.7192982456140351,0.5996557000765111,7.245700884346615E-4,0.9992754299115649,0.4003442999234889,0.6524495438662568,0.5996557000765111,0.5907137719202791,0.6066862646880439,0.8661382235024376,0.600960083625077,0.44964459172728766,0.5996557000765111,121.513,1.471,31.995805100000002,1.4352092,4.99922697E8,2.23253579E8,2.23296248E8,73.52716143840857,0.8346604152950764,'Best filter: weka.filters.AllFilter\nBest classifier: weka.classifiers.meta.AttributeSelectedClassifier -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 1250\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1',1.0,1250.0,0.0
output/ibol.species.seq150.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.GridSearch,'-E ACC -y-property classifier.search.numToSelect -y-min 0.0 -y-max 8.0 -y-step 1.0 -y-base 2.0 -y-expression 5000/pow(BASE,I) -filter weka.filters.AllFilter -x-property filter -x-min 0.0 -x-max 1.0 -x-step 1.0 -x-base 1.0 -x-expression I -sample-size 100.0 -traversal COLUMN-WISE -log-file \\dev\\null -num-slots 4 -S 1 -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N -1\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1',-3034773968581595348,2.0141201011200003E7,5228.0,5227.0,3163.0,2064.0,0.0,60.512722402907976,39.487277597092024,0.0,0.6039952384850219,0.001554384435022055,0.026805700900813058,66.99732471742405,78.70946831735415,48604.94845442403,1534916.1446807797,-1486311.1962263556,9.298823121183094,293.6514529712607,-284.3526298500776,28628.927749655846,5.477124115105385,304945.11345649126,0.25,1.0,0.0013402259237985832,7.0,0.9986597740762014,5216.0,0.75,3.0,0.125,0.25,0.16666666666666666,0.17589637989779197,0.6237076392877656,0.2505739429883298,0.6051272240290798,7.502160628173392E-4,0.9992497839371829,0.39487277597092024,0.6562423774576921,0.6051272240290798,0.594094011117966,0.610691181589229,0.8623061927460502,0.5975761906126998,0.4616521784634947,0.6051272240290798,119.939,0.984,31.0597991,0.9828062999999999,4.98751537E8,2.23296248E8,2.23253579E8,72.7568394872776,0.8204492772322327,'Best filter: weka.filters.AllFilter\nBest classifier: weka.classifiers.meta.AttributeSelectedClassifier -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 625\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1',1.0,625.0,0.0
output/ibol.species.seq300.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.GridSearch,'-E ACC -y-property classifier.search.numToSelect -y-min 0.0 -y-max 8.0 -y-step 1.0 -y-base 2.0 -y-expression 5000/pow(BASE,I) -filter weka.filters.AllFilter -x-property filter -x-min 0.0 -x-max 1.0 -x-step 1.0 -x-base 1.0 -x-expression I -sample-size 100.0 -traversal COLUMN-WISE -log-file \\dev\\null -num-slots 4 -S 1 -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N -1\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1',-3034773968581595348,2.0141201011400003E7,5227.0,5228.0,4566.0,662.0,0.0,87.33741392501913,12.662586074980872,0.0,0.8730370126513014,0.001040951228625821,0.019769066738602452,44.86724366697943,58.047939908459924,48602.29540788103,338886.70858044905,-290284.413172568,9.296536994621468,64.82148213091986,-55.5249451362984,40513.144266880816,7.749262484101151,431427.37238514924,1.0,3.0,0.001339712918660287,7.0,0.9986602870813397,5218.0,0.0,0.0,0.3,1.0,0.4615384615384615,0.547355539046059,1.0,1.0,0.8733741392501913,1.9089521838216498E-4,0.9998091047816177,0.12662586074980872,0.8996686793531308,0.8733741392501913,0.8693449603955802,0.877439499601561,0.9699925770128377,0.8821403676942574,0.8024334946259399,0.8733741392501913,104.171,1.392,26.7853717,1.3728088,4.39694396E8,2.23797642E8,2.23840415E8,94.0512624330528,0.6174044945819432,'Best filter: weka.filters.AllFilter\nBest classifier: weka.classifiers.meta.AttributeSelectedClassifier -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 1250\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1',1.0,1250.0,0.0
output/ibol.species.seq300.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.GridSearch,'-E ACC -y-property classifier.search.numToSelect -y-min 0.0 -y-max 8.0 -y-step 1.0 -y-base 2.0 -y-expression 5000/pow(BASE,I) -filter weka.filters.AllFilter -x-property filter -x-min 0.0 -x-max 1.0 -x-step 1.0 -x-base 1.0 -x-expression I -sample-size 100.0 -traversal COLUMN-WISE -log-file \\dev\\null -num-slots 4 -S 1 -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N -1\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1',-3034773968581595348,2.0141201011600003E7,5228.0,5227.0,4522.0,705.0,0.0,86.51233977424909,13.48766022575091,0.0,0.8647638093922533,0.001055476706368093,0.020019744570606197,45.493324582355974,58.78389290517886,48604.94845442403,342244.5905880141,-293639.64213359007,9.298823121183094,65.47629435393421,-56.17747123275111,40332.90085840174,7.716261882227232,429611.6548913567,1.0,4.0,0.0011487650775416428,6.0,0.9988512349224583,5217.0,0.0,0.0,0.4,1.0,0.5714285714285715,0.6320921562311806,1.0,1.0,0.8651233977424909,2.051129344509926E-4,0.9997948870655491,0.13487660225750908,0.8855161398094515,0.8651233977424909,0.8566740982774543,0.8654668086808345,0.969673690198647,0.874632612456734,0.7854233018914424,0.8651233977424909,99.213,1.303,25.6309643,1.3104084,4.44187029E8,2.23840415E8,2.23797642E8,93.99273005548116,0.622327716997161,'Best filter: weka.filters.AllFilter\nBest classifier: weka.classifiers.meta.AttributeSelectedClassifier -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 625\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1',1.0,625.0,0.0
output/ibol.species.seq450.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.GridSearch,'-E ACC -y-property classifier.search.numToSelect -y-min 0.0 -y-max 8.0 -y-step 1.0 -y-base 2.0 -y-expression 5000/pow(BASE,I) -filter weka.filters.AllFilter -x-property filter -x-min 0.0 -x-max 1.0 -x-step 1.0 -x-base 1.0 -x-expression I -sample-size 100.0 -traversal COLUMN-WISE -log-file \\dev\\null -num-slots 4 -S 1 -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N -1\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1',-3034773968581595348,2.0141201011800002E7,5227.0,5228.0,5157.0,71.0,0.0,98.64192807957154,1.3580719204284621,0.0,0.9863840407875722,5.617782601733136E-4,0.012479053106211573,24.21385497501357,36.64226209573001,48602.29540788103,14360.892250748471,34241.40315713256,9.296536994621468,2.7469189462028445,6.5496180484186235,45941.298758197074,8.787547581904567,489232.17799742724,1.0,3.0,1.9138755980861245E-4,1.0,0.9998086124401914,5224.0,0.0,0.0,0.75,1.0,0.8571428571428571,0.8659425265744508,1.0,1.0,0.9864192807957154,1.869975345004978E-5,0.99998130024655,0.013580719204284622,0.989024773371685,0.9864192807957154,0.9855812235627527,0.9866102711548138,0.9989313104363226,0.9886575085552368,0.9767966329976073,0.9864192807957154,94.754,1.479,24.0397541,1.2324079,3.78594234E8,2.24425407E8,2.244683E8,99.78959449120123,0.39218608209818684,'Best filter: weka.filters.AllFilter\nBest classifier: weka.classifiers.meta.AttributeSelectedClassifier -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 1250\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1',1.0,1250.0,0.0
output/ibol.species.seq450.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.GridSearch,'-E ACC -y-property classifier.search.numToSelect -y-min 0.0 -y-max 8.0 -y-step 1.0 -y-base 2.0 -y-expression 5000/pow(BASE,I) -filter weka.filters.AllFilter -x-property filter -x-min 0.0 -x-max 1.0 -x-step 1.0 -x-base 1.0 -x-expression I -sample-size 100.0 -traversal COLUMN-WISE -log-file \\dev\\null -num-slots 4 -S 1 -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N -1\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1',-3034773968581595348,2.01412010119E7,5228.0,5227.0,5151.0,76.0,0.0,98.54601109623111,1.4539889037688922,0.0,0.9854224617211735,5.714959445811401E-4,0.012621335066841028,24.63270894323536,37.05997378102891,48604.94845442403,22967.171521259497,25637.776933164536,9.298823121183094,4.39394901879845,4.904874102384644,45846.856858431434,8.771160676952638,488344.3448728516,1.0,4.0,0.0,0.0,1.0,5223.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9854601109623111,2.0293341493909926E-5,0.9999797066585061,0.014539889037688923,0.9879410016365165,0.9854601109623111,0.984840486556612,0.9857336640618154,0.9981659555043213,0.9887777535946519,0.9765933342913303,0.9854601109623111,90.093,1.29,23.5249508,1.2948083,3.77859409E8,2.244683E8,2.24425407E8,99.63650277405777,0.3963321038792336,'Best filter: weka.filters.AllFilter\nBest classifier: weka.classifiers.meta.AttributeSelectedClassifier -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 1250\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1',1.0,1250.0,0.0
output/ibol.species.seq600.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.GridSearch,'-E ACC -y-property classifier.search.numToSelect -y-min 0.0 -y-max 8.0 -y-step 1.0 -y-base 2.0 -y-expression 5000/pow(BASE,I) -filter weka.filters.AllFilter -x-property filter -x-min 0.0 -x-max 1.0 -x-step 1.0 -x-base 1.0 -x-expression I -sample-size 100.0 -traversal COLUMN-WISE -log-file \\dev\\null -num-slots 4 -S 1 -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N -1\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1',-3034773968581595348,2.01412010119E7,398.0,398.0,386.0,12.0,0.0,96.98492462311557,3.0150753768844223,0.0,0.9694588148024991,0.0025074869295974886,0.02691335568595013,12.56514974718011,26.94653627721605,2589.244250640264,96.43167591638287,2492.812574723881,6.505638820704181,0.24229064300598713,6.263348177698194,2492.8125747238787,6.263348177698187,38209.37199936142,1.0,6.0,0.0,0.0,1.0,392.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9698492462311558,2.9996857496704236E-4,0.9997000314250329,0.03015075376884422,0.9747307968413497,0.9698492462311558,0.9700064313129637,0.970840502685549,0.9997761995199455,0.9882747068676716,0.9694869664566633,0.9698492462311558,7.073,0.016,1.6380105,0.015600099999999999,1.8853454E7,1.6097152E7,1.6097152E7,100.0,1.9846708288919346,'Best filter: weka.filters.AllFilter\nBest classifier: weka.classifiers.meta.AttributeSelectedClassifier -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 78\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1',1.0,78.125,0.0
output/ibol.species.seq600.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.GridSearch,'-E ACC -y-property classifier.search.numToSelect -y-min 0.0 -y-max 8.0 -y-step 1.0 -y-base 2.0 -y-expression 5000/pow(BASE,I) -filter weka.filters.AllFilter -x-property filter -x-min 0.0 -x-max 1.0 -x-step 1.0 -x-base 1.0 -x-expression I -sample-size 100.0 -traversal COLUMN-WISE -log-file \\dev\\null -num-slots 4 -S 1 -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N -1\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1',-3034773968581595348,2.01412010119E7,398.0,398.0,393.0,5.0,0.0,98.74371859296483,1.256281407035176,0.0,0.9872724714430076,0.0027714329221866993,0.025874875110258502,13.887797088988547,25.907837485340753,2587.3745246531234,98.94814928464807,2488.4263753684754,6.50094101671639,0.2486134404136886,6.252327576302702,2488.4263753684713,6.252327576302692,38116.29465126518,1.0,7.0,0.0,0.0,1.0,391.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9874371859296482,1.211811626820287E-4,0.9998788188373179,0.01256281407035176,0.9880653266331658,0.9874371859296482,0.9876365956767967,0.9875682975457737,0.9998883925861795,0.992462311557789,0.9871733205066537,0.9874371859296482,6.797,0.015,1.5288097999999999,0.015600099999999999,1.8895246E7,1.6097152E7,1.6097152E7,100.0,2.2638444748997517,'Best filter: weka.filters.AllFilter\nBest classifier: weka.classifiers.meta.AttributeSelectedClassifier -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 312\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1',1.0,312.5,0.0
output/res50k.family.seq150.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.GridSearch,'-E ACC -y-property classifier.search.numToSelect -y-min 0.0 -y-max 8.0 -y-step 1.0 -y-base 2.0 -y-expression 5000/pow(BASE,I) -filter weka.filters.AllFilter -x-property filter -x-min 0.0 -x-max 1.0 -x-step 1.0 -x-base 1.0 -x-expression I -sample-size 100.0 -traversal COLUMN-WISE -log-file \\dev\\null -num-slots 4 -S 1 -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N -1\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1',-3034773968581595348,2.01412010122E7,6981.0,6981.0,2984.0,3997.0,0.0,42.744592465262855,57.255407534737145,0.0,0.39714732850477474,0.00711503310169728,0.05955010750022657,79.88957325067126,89.27923411393003,42791.87137129563,2586305.0574668264,-2543513.1860955306,6.129762408150069,370.4777334861519,-364.3479710780018,15821.155660171582,2.2663165248777513,254603.6304639059,0.0,0.0,0.0020083201836178454,14.0,0.9979916798163821,6957.0,1.0,10.0,0.0,0.0,0.0,-0.0016978275295523961,0.49282742791565054,0.0014324595330181922,0.42744592465262854,0.027714309249910085,0.97228569075009,0.5725540753473715,0.413224637270416,0.42744592465262854,0.3908446077106381,0.38748941467169223,0.7953339113062873,0.3746321292866694,0.19489726640029434,0.42744592465262854,115.732,0.645,32.6978096,0.6396041,4.06324352E8,3.03708524E8,3.03708524E8,65.62097120756339,3.367996213553881,'Best filter: weka.filters.AllFilter\nBest classifier: weka.classifiers.meta.AttributeSelectedClassifier -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 1250\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1',1.0,1250.0,0.0
output/res50k.family.seq150.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.GridSearch,'-E ACC -y-property classifier.search.numToSelect -y-min 0.0 -y-max 8.0 -y-step 1.0 -y-base 2.0 -y-expression 5000/pow(BASE,I) -filter weka.filters.AllFilter -x-property filter -x-min 0.0 -x-max 1.0 -x-step 1.0 -x-base 1.0 -x-expression I -sample-size 100.0 -traversal COLUMN-WISE -log-file \\dev\\null -num-slots 4 -S 1 -W weka.classifiers.meta.AttributeSelectedClassifier -- -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N -1\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1',-3034773968581595348,2.01412010124E7,6981.0,6981.0,2951.0,4030.0,0.0,42.27188081936685,57.72811918063315,0.0,0.3923511674053103,0.007110016192733688,0.05953247956333626,79.83324199958679,89.25303062984104,42776.35718406474,2607690.2630145946,-2564913.90583053,6.1275400636104775,373.5410776413973,-367.4135375777868,15827.482123362326,2.267222765128538,254606.52670778433,0.1,1.0,0.0015779658585568786,11.0,0.9984220341414431,6960.0,0.9,9.0,0.08333333333333333,0.1,0.0909090909090909,0.08985950515829555,0.5942547697604361,0.10334376982421677,0.4227188081936685,0.02825008398995757,0.9717499160100422,0.5772811918063314,0.41365305088238097,0.4227188081936685,0.3861301428667989,0.3830588532898862,0.7929276299356698,0.37643364845826455,0.19377152717290708,0.4227188081936685,112.728,0.535,32.7914102,0.5304034000000001,4.06156165E8,3.03708524E8,3.03708524E8,65.33447930095974,3.3559160248652953,'Best filter: weka.filters.AllFilter\nBest classifier: weka.classifiers.meta.AttributeSelectedClassifier -E \"weka.attributeSelection.GainRatioAttributeEval \" -S \"weka.attributeSelection.Ranker -T 0.0 -N 1250\" -W weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1',1.0,1250.0,0.0
