Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
output/ibol.species.seq150.k33.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.01411280041E7,5227.0,5228.0,2184.0,3044.0,0.0,41.77505738332058,58.22494261667942,0.0,0.4151960239583205,0.0013730237437770646,0.03267064663241092,59.18028547208517,95.93086803564432,48602.29540788103,61191.62616500153,-12589.3307571205,9.296536994621468,11.704595670428755,-2.408058675807288,21675.80377365396,4.146098656016442,230827.18548825246,0.0,0.0,0.0,0.0,1.0,5225.0,1.0,3.0,0.0,0.0,0.0,0.0,0.9668261562998405,0.017476872486678157,0.4177505738332058,0.0025842143747546913,0.997415785625246,0.5822494261667942,0.45014214898674454,0.4177505738332058,0.3646357447825759,0.39491635272272746,0.9236003907747538,0.4879565151743278,0.2558921644131791,0.4177505738332058,0.574,37.521,0.30550099999999997,35.497178999999996,6066634.0,2909600.0,2910149.0,50.707727620504976,0.3499270475614383,?,?
output/ibol.species.seq150.k33.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.01411280042E7,5228.0,5227.0,2172.0,3055.0,0.0,41.55347235507939,58.44652764492061,0.0,0.41293193577535153,0.001377155201113723,0.032728181103455344,59.358362137739995,96.09962235939567,48604.94845442403,60833.76349434104,-12228.815039917004,9.298823121183094,11.638370670430655,-2.3395475492475617,21660.296086483035,4.143925021328302,230717.737854264,0.0,0.0,0.0,0.0,1.0,5223.0,1.0,4.0,0.0,0.0,0.0,0.0,0.7986789201608271,0.25813190837051364,0.41553472355079396,0.0026459583891259102,0.9973540416108742,0.5844652764492061,0.4603192613092991,0.41553472355079396,0.3663645401854267,0.39752385847909166,0.9232532987843215,0.49313064847690374,0.25783485891906827,0.41553472355079396,0.154,36.319,0.132624,35.257656000000004,6038930.0,2910149.0,2909600.0,50.449588674191695,0.3442990554411192,?,?
output/ibol.species.seq150.k34.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.01411280045E7,5227.0,5228.0,2500.0,2728.0,0.0,47.819433817903594,52.180566182096406,0.0,0.47595656864853564,0.0012139168758821628,0.033586549692247995,52.32243621400381,98.62023554511715,48602.29540788103,213586.57165253375,-164984.27624465272,9.296536994621468,40.85435571012505,-31.55781871550358,22094.13593544622,4.226116284515344,235282.03461468217,0.0,0.0,0.0,0.0,1.0,5225.0,1.0,3.0,0.0,0.0,0.0,0.0,0.9168102073365231,0.17805189010008285,0.47819433817903595,0.002296635711493353,0.9977033642885065,0.521805661820964,0.5069787181327842,0.47819433817903595,0.42114882310471213,0.4527294186969054,0.9412975418915185,0.5926669504217303,0.28048875395783773,0.47819433817903595,0.813,179.508,0.772086,168.50111900000002,2.4468835E7,1.3622944E7,1.3625541E7,49.52180566182096,0.1486628351808602,?,?
output/ibol.species.seq150.k34.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.01411280049E7,5228.0,5227.0,2474.0,2753.0,0.0,47.33116510426631,52.66883489573369,0.0,0.47099385474987665,0.0012257550681452742,0.03363445643267342,52.832689567810775,98.76071484773743,48604.94845442403,209442.70902536577,-160837.76057094173,9.298823121183094,40.06939143397088,-30.77056831278778,22034.00429381079,4.21542075642066,234698.3442073802,0.0,0.0,0.0,0.0,1.0,5223.0,1.0,4.0,0.0,0.0,0.0,0.0,0.774219797051503,0.06929662204848772,0.4733116510426631,0.0024160667634372524,0.9975839332365629,0.5266883489573368,0.5098819115468599,0.4733116510426631,0.42009072586440227,0.45151655239313626,0.9406571729636317,0.5979556146495065,0.2831279619301238,0.4733116510426631,0.829,172.222,0.8141660000000001,168.830669,2.4302591E7,1.3625541E7,1.3622944E7,49.3399655634207,0.1503819612833102,?,?
output/ibol.species.seq150.k35.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.0141128010100003E7,5227.0,5228.0,2224.0,3004.0,0.0,42.54016832440704,57.45983167559296,0.0,0.4226446471671785,0.0013371905089486216,0.0359452645256784,57.63579574556239,105.54613339970857,48602.29540788103,803164.1446439814,-754561.8492361003,9.296536994621468,153.62741863886407,-144.3308816442426,18638.14129172993,3.5650614559544627,198478.90034562573,0.0,0.0,0.0,0.0,1.0,5225.0,1.0,3.0,0.0,0.0,0.0,0.0,0.9564274322169058,0.19117492925269886,0.4254016832440704,0.002832292080965795,0.9971677079190346,0.5745983167559297,0.4180174831570167,0.4254016832440704,0.35278674836163276,0.3825603023797766,0.9389132765488147,0.586059077233012,0.1811589464764997,0.4254016832440704,4.183,716.085,3.995442,705.4607530000001,8.5042249E7,5.6477344E7,5.6488133E7,42.94185156847743,0.13044696713580842,?,?
output/ibol.species.seq150.k35.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.01411280113E7,5228.0,5227.0,2185.0,3042.0,0.0,41.802180983355655,58.197819016644345,0.0,0.41512237491184373,0.0013552118252683596,0.036198188214127146,58.412555267969424,106.28858983870272,48604.94845442403,804850.1771758652,-756245.2287214411,9.298823121183094,153.97937194870195,-144.68054882751886,18286.118986143938,3.4983965919540725,194777.20848192068,0.0,0.0,0.0,0.0,1.0,5223.0,1.0,4.0,0.0,0.0,0.0,0.0,0.7600038292169251,0.026354165302782326,0.4180218098335565,0.0030251883311451064,0.9969748116688556,0.5819781901664435,0.4198072267259225,0.4180218098335565,0.34562092941816586,0.3769009363054888,0.9382825919080091,0.5694366580558445,0.17662862379577235,0.4180218098335565,4.268,721.349,4.06784,701.876787,8.4875999E7,5.6488133E7,5.6477344E7,42.203941075186535,0.13073887373698406,?,?
output/ibol.species.seq150.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.01411280205E7,5227.0,5228.0,1721.0,3507.0,0.0,32.918898240244836,67.08110175975517,0.0,0.32525202861274133,0.0015602218204225488,0.03918932626813199,67.24892643034657,115.071676692937,48602.29540788103,2549249.4859997514,-2500647.1905918703,9.296536994621468,487.61466832435946,-478.31813132973804,13826.1288198268,2.644630608230069,147235.43518869203,0.0,0.0,0.0,0.0,1.0,5225.0,1.0,3.0,0.0,0.0,0.0,0.0,0.5,5.738332058148432E-4,0.32918898240244837,0.004054630550234572,0.9959453694497656,0.6708110175975517,0.3081883898230487,0.32918898240244837,0.2533824444523976,0.2799744185496831,0.8296395358904097,0.4694618385320983,0.09461600644691226,0.32918898240244837,23.155,3038.623,20.816411,2857.7606779999996,2.97096933E8,2.23253579E8,2.23296248E8,33.129303749043615,0.1241303535524206,?,?
output/ibol.species.seq150.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.01411280255E7,5228.0,5227.0,1712.0,3515.0,0.0,32.753013200688734,67.24698679931127,0.0,0.3234568620417089,0.0015624934101927232,0.03922671595632179,67.34683905274166,115.18124328039157,48604.94845442403,2564435.481081778,-2515830.5326273544,9.298823121183094,490.61325446370347,-481.31443134252044,13804.736891918186,2.6410439816181723,147043.12695726464,0.0,0.0,0.0,0.0,1.0,5223.0,1.0,4.0,0.0,0.0,0.0,0.0,0.5,7.652573177731012E-4,0.3275301320068873,0.004253353251493387,0.9957466467485065,0.6724698679931127,0.3068069630989123,0.3275301320068873,0.2589211934623154,0.2824835944749496,0.8264271738000861,0.4694997308652788,0.09714680490393332,0.3275301320068873,18.439,2946.005,17.297549999999998,2883.3839019999996,2.966392E8,2.23296248E8,2.23253579E8,33.11651042663095,0.12366469271803542,?,?
output/ibol.species.seq300.k33.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.01411280256E7,5227.0,5228.0,4138.0,1090.0,0.0,79.15072685539403,20.849273144605966,0.0,0.7908854101205821,4.980054805345577E-4,0.019668683898842305,21.46511059133105,57.7531856275783,48602.29540788103,14194.059579373072,34408.23582850795,9.296536994621468,2.7150075706528445,6.581529423968622,39822.36392269603,7.617131584295339,424071.2030682547,0.6666666666666666,2.0,0.0,0.0,1.0,5225.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.8,0.8164184584971852,0.9962998405103668,0.6830601092896175,0.7915072685539403,5.881658164785916E-4,0.9994118341835219,0.20849273144605968,0.8049918665372621,0.7915072685539403,0.7656484872051698,0.7807841338691256,0.9951917488427808,0.8695334702778745,0.6813256465430436,0.7915072685539403,0.189,36.36,0.14973699999999998,34.954479,6572213.0,2909600.0,2910149.0,84.6212700841622,0.20155335314318557,?,?
output/ibol.species.seq300.k33.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.01411280256E7,5228.0,5227.0,4135.0,1092.0,0.0,79.10847522479433,20.891524775205664,0.0,0.7904620713590265,5.014864562814398E-4,0.019749505522579553,21.61514886270794,57.99039110989023,48604.94845442403,13861.877777588801,34743.07067683523,9.298823121183094,2.651975851844041,6.6468472693390535,39902.34674836229,7.6338907113759875,425025.54628529056,0.0,0.0,0.0,0.0,1.0,5223.0,1.0,4.0,0.0,0.0,0.0,0.0,0.9967930308251962,0.32111528822055135,0.7910847522479434,5.838159846440152E-4,0.999416184015356,0.20891524775205664,0.7982824876220201,0.7910847522479434,0.7643377983696179,0.7784781986146986,0.9951607136910856,0.8720438743950332,0.6812257217725164,0.7910847522479434,0.136,36.667,0.129042,35.003248,6606848.0,2910149.0,2909600.0,85.07748230342453,0.20664172165100192,?,?
output/ibol.species.seq300.k34.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.014112803E7,5227.0,5228.0,4578.0,650.0,0.0,87.56694720734507,12.433052792654935,0.0,0.8753193103575048,2.8979872281542613E-4,0.016532571019852862,12.490950155372749,48.54461274182579,48602.29540788103,32392.923617006694,16209.371790874335,9.296536994621468,6.1960450682874315,3.100491926334035,42261.745270571715,8.083730923980818,450048.34960189695,0.6666666666666666,2.0,0.0,0.0,1.0,5225.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.8,0.8164184584971852,0.9973205741626794,0.6888888888888889,0.8756694720734507,3.289755068276655E-4,0.9996710244931725,0.12433052792654935,0.8895428228906729,0.8756694720734507,0.8602382425579024,0.8706605830249203,0.9981499132656333,0.931879881856975,0.8029815609513101,0.8756694720734507,0.952,174.851,0.855279,167.05884099999997,2.685848E7,1.3622944E7,1.3625541E7,88.33205814843153,0.1220174018255831,?,?
output/ibol.species.seq300.k34.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.0141128030300003E7,5228.0,5227.0,4628.0,599.0,0.0,88.5402716663478,11.45972833365219,0.0,0.8850827160161685,2.6811380098005306E-4,0.015885653615105202,11.556283619906775,46.64497878810027,48604.94845442403,30721.41836376379,17883.530090660242,9.298823121183094,5.877447553809794,3.4213755673733006,42722.7386204539,8.173472091152458,455067.35319288884,0.75,3.0,0.0,0.0,1.0,5223.0,0.25,1.0,1.0,0.75,0.8571428571428571,0.8659425107089882,0.9994734826727935,0.8166666666666667,0.8854027166634781,2.956559673677156E-4,0.9997043440326325,0.1145972833365219,0.892972034693951,0.8854027166634781,0.8701332918837669,0.8790586441476815,0.998063474273579,0.9315693167698872,0.8144687238703551,0.8854027166634781,1.08,185.437,1.016857,178.38829800000002,2.6865413E7,1.3625541E7,1.3622944E7,89.13334608762196,0.12172930357134192,?,?
output/ibol.species.seq300.k35.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.01411280315E7,5227.0,5228.0,4360.0,868.0,0.0,83.39709257842387,16.602907421576127,0.0,0.833475653867751,3.8598246224262557E-4,0.019446824507115792,16.636676828252885,57.10173956746051,48602.29540788103,150281.63960667994,-101679.3441987989,9.296536994621468,28.745531676870684,-19.448994682249218,39728.91995726597,7.599257834213078,423076.111593617,0.6666666666666666,2.0,0.0,0.0,1.0,5225.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.8,0.8164184584971852,0.9998086124401914,0.8333333333333333,0.8339709257842387,5.139542656574358E-4,0.9994860457343425,0.1660290742157613,0.8307234242582453,0.8339709257842387,0.8065945527898987,0.8184852579836683,0.9977308846240125,0.9029198648232057,0.7147947356029084,0.8339709257842387,4.736,734.217,4.434484,708.354265,9.1096275E7,5.6477344E7,5.6488133E7,83.79877582249426,0.11863667906264304,?,?
output/ibol.species.seq300.k35.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.01411280328E7,5228.0,5227.0,4357.0,870.0,0.0,83.35565333843505,16.644346661564953,0.0,0.8330639100670081,3.8710741945866646E-4,0.01941814766102059,16.685165456915016,57.01742639605615,48604.94845442403,142851.59275412737,-94246.64429970333,9.298823121183094,27.329556677659724,-18.030733556476626,39723.97194624868,7.599765055720046,423125.5616004305,0.25,1.0,0.0,0.0,1.0,5223.0,0.75,3.0,1.0,0.25,0.4,0.4998564661948321,0.9999521347884358,0.95,0.8335565333843505,4.945316418687453E-4,0.9995054683581309,0.16644346661564952,0.8292486469379055,0.8335565333843505,0.8050065409750262,0.8172429766978148,0.9975389222260574,0.9094309726843781,0.7139247628079259,0.8335565333843505,4.778,737.97,4.547680000000001,709.22096,9.1040867E7,5.6488133E7,5.6477344E7,83.71915056437727,0.11923776811812725,?,?
output/ibol.species.seq300.k36.arff-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last\" -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.01411280418E7,5227.0,5228.0,3577.0,1651.0,0.0,68.42004590665647,31.579954093343535,0.0,0.6830641415378357,7.350793341971063E-4,0.026994299497912762,31.68350513935353,79.26340154773457,48602.29540788103,946206.7725683642,-897604.4771604831,9.296536994621468,180.9882885555402,-171.69175156091873,31420.301474816715,6.010004107654306,334597.03881614015,0.0,0.0,0.0,0.0,1.0,5225.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6842004590665647,0.00123360389020777,0.9987663961097922,0.3157995409334354,0.6337777275564439,0.6842004590665647,0.6219887101190709,0.6386537804780297,0.9599159799381293,0.8136688342101338,0.4320527718682338,0.6842004590665647,20.936,2942.304,19.289367,2821.326471,3.09743738E8,2.23797642E8,2.23840415E8,68.51568477429227,0.11823633031440015,?,?
